subject,predicate,object
Siege of Jerusalem (597 BC),instanceOf,Military siege
Tammuz festival,instanceOf,Ancient Babylonian festival
Assyrians,notableKing,Sargon II
E-zida,locatedIn,Babylon
Ziggurats,associatedWith,Babylon
Karaindaš,notableFor,Building projects in Babylon
Amorite language,instanceOf,Ancient Semitic language
Tashritu,associatedWith,harvest season
Destruction of the First Temple,perpetratedBy,Babylonian Empire
Ur III,precededBy,Akkadian Empire
Babylon,capitalOf,Babylonian Empire
Darius II of Persia,instanceOf,King of the Achaemenid Empire
Enuma Anu Enlil,language,Akkadian
E-babbar,function,religious worship
Baghdad,instanceOf,City
Babylonian creation myth,alsoKnownAs,Enuma Elish
Larsa,conqueredBy,Babylon under Hammurabi
Ancient Babylon,knownFor,Religious temples
Enuma Elish,discoveredIn,Nineveh
Ninurta-apla-X,instanceOf,King of Babylon
Shulgi,notableFor,Longest reign in Ur III dynasty
Babylon,knownFor,astronomy
Middle Assyrian period,associatedWith,Assyrian Empire
Goddess Inanna,mythology,Descent to the Underworld
Behistun Inscription,purpose,Record of Darius the Great's reign and conquests
Tigris River,flowsThrough,Mesopotamia
Huzziya I,title,King of Babylon
City of Umma,instanceOf,Ancient Sumerian city
Tammuz,role,god of fertility and vegetation
Goddess Inanna,instanceOf,Deity
Kutir-Nahhunte,reignedDuring,Ancient Babylonian period
Ekur temple,mentionedIn,Sumerian texts
Temple of the Sun God Utu,architecturalStyle,Mesopotamian temple architecture
Utu,temple,E-babbar
Babylon,locatedNear,Euphrates River
Hittite sack of Babylon,instanceOf,historical event
Babylonian New Year festival,duration,12 days
King of the Neo-Babylonian Empire,capital,Babylon
Bau,instanceOf,Goddess
Behistun Inscription,createdBy,Darius the Great
Sogdianus,predecessor,Artaxerxes I
Cambyses II,succeededBy,Darius I
Gate of All Nations,locatedIn,Persepolis
Nebuchadnezzar I,instanceOf,King of Babylon
Reign of Labashi-Marduk,duration,a few months
First Dynasty of Babylon,instanceOf,dynasty
Babylonian Captivity of the Jews,location,Babylon
Ancient Babylon,knownFor,religious architecture
Nanna (Moon God),symbol,Crescent Moon
Cyrus the Younger,instanceOf,Persian prince
Babylon,famousFor,Babylonian captivity of the Jews
Ipiq-Adad II,dynasty,Kassite dynasty
Ancient Assyria,religion,Assyrian religion
Baba-aha-iddina,knownFor,Building projects in Babylon
Lagash,famousRuler,Gudea
Sin (Moon God),alsoKnownAs,Nanna
Hammurabi of Babylon,reignPeriod,c. 1792–1750 BC
Esagila temple,associatedWith,Babylonian religion
King Samsu-Iluna,capital,Babylon
Akitu (New Year festival),instanceOf,Ancient Babylonian festival
Old Babylonian Empire,religion,Ancient Mesopotamian religion
Ancient Babylon,religion,Ancient Mesopotamian religion
King of Assyria,militaryPower,Strong
Nabu-apla-iddina,notableFor,Recovery of the Marduk cult statue
Marduk-apla-iddina I,reignPeriod,1171–1159 BC
Enki,spouse,Ninhursag
Babilu priests,associatedWith,Ancient city of Babylon
Ancient Babylonian Festival,includedRituals,Processions
Hammurabi receiving laws from Shamash,location,Louvre Museum
Kadašman-Enlil I,instanceOf,King of Babylon
Samsu-Ditana,dynasty,First Babylonian Dynasty
Enlil-nadin-shumi,dynasty,Kassite dynasty
Kashtiliash IV,capturedBy,Assyrian king Tukulti-Ninurta I
Babylon,conqueredBy,Achaemenid Empire
Lugalzagesi,defeatedBy,Sargon of Akkad
Akkadians,region,Mesopotamia
Enki,fatherOf,Marduk
Utu,father,Nanna
End of the First Babylonian Dynasty,instanceOf,historical event
Enlil,domain,Air and wind
Enlil-nadin-shumi,father,Adad-shuma-iddina
Karduniaš,language,Akkadian
Ruins of Babylon,contains,Ruins of temples
Abu Habbah,notableFor,Governance during the reign of Nebuchadnezzar II
Nanna,role,God of the moon and wisdom
Siege of Jerusalem (701 BC),conductedBy,Sennacherib
Kudur-Mabuk,associatedWith,City of Larsa
King Kurigalzu I,reignPeriod,circa 1390–1364 BC
Babylonia,famousArtifact,Code of Hammurabi stele
Eshnunna law code,influenced,Babylonian law codes
Achaemenid Empire,conquered,Babylon in 539 BCE
Semiramis,legendaryRole,Queen of Babylon
Akkadian king,associatedWith,Akkadian Empire
Babylon,historicalInfluence,influenced later civilizations
Temple of Marduk,alsoKnownAs,Esagila
Neo-Babylonian,religion,Babylonian religion
Jehoiachin,instanceOf,King of Judah
Sacking of Babylon,instanceOf,historical event
Adad-nirari III,instanceOf,King of Assyria
Nabu-shuma-ishkun,predecessor,Marduk-apla-iddina II
Akkadian language,replacedBy,Aramaic language
Huzziya I,predecessor,Karaindash
Xerxes I,instanceOf,King of the Achaemenid Empire
Babylonian King,associatedWith,Babylon
First Babylonian Dynasty,notableRuler,Hammurabi
Third Dynasty of Ur,languageUsed,Akkadian
Ancient Babylonian mythology,includesDeity,Ea
Babylonian chronicles,instanceOf,ancient historical records
Temple of Marduk,reconstructedBy,Nebuchadnezzar II
Ziusudra,role,Survivor of the Great Flood
Babylonia,instanceOf,ancient region
Cuneiform writing system,usedFor,Record keeping
Kudur-Mabuk,instanceOf,Ancient Babylonian ruler
Chaldean Empire,language,Akkadian
Babylonian astronomy,instanceOf,ancient science
Ancient Babylon,knownFor,Code of Hammurabi
Cuneiform Tablets,purpose,Legal Documents
Cyaxares,reignPeriod,c. 625–585 BC
Fall of Babylon to Cyrus the Great,conqueror,Cyrus the Great
Hadadezer,defeatedBy,King David
Carchemish,instanceOf,ancient city
Invasion by the Hittites,occurredIn,Babylon
Ishkur,parent,Antu
Kings of Babylon,includes,Nabu-shum-ukin I
Utu,role,Sun God
Samsu-iluna,dynasty,First Babylonian Dynasty
Mušḫuššu,instanceOf,Mythological creature
Sin,symbol,Crescent moon
Simbar-Šipak,reignEnd,1004 BC
Excavation of Babylon,discovered,Ishtar Gate
Enlil,worshipedIn,Ancient Babylon
Babylonian dialect,instanceOf,Akkadian dialect
Ancient Assyria,instanceOf,Ancient civilization
Burna-Buriash II,notableFor,Correspondence with Egyptian Pharaoh Akhenaten
Marduk,mentionedIn,Enuma Elish
Nanna (moon god),associatedWith,Moon
Temple of the sun god Shamash,locatedIn,Babylon
Babylonian Kingdom,instanceOf,Ancient kingdom
Ziggurat of Etemenanki,material,mud bricks
Cuneiform script,developedBy,Sumerians
Babylonian period,language,Sumerian (early)
Processional Way of Babylon,usedIn,New Year festival
Artaxerxes I,reignEnd,424 BC
Babylonian texts,importantExample,Epic of Gilgamesh
Gate of All Nations,partOf,Babylon city walls
Adad-apla-iddina,notableFor,Restoration of temples in Babylon
Abu Habbah,instanceOf,Person
Babylonian army,instanceOf,Ancient military force
Babylonian revolts,against,Neo-Assyrian Empire
Tammuz,resurrectionCause,return from the underworld
Lugal-anda,predecessor,En-men-dur-ana
Babylonian tablets,use,record keeping
Jews from the Kingdom of Judah,instanceOf,Ethnic group
Eridu,associatedWith,Sumerian civilization
Utu,instanceOf,Sun god
Ammi-Ditana,instanceOf,King of Babylon
City of Larsa,instanceOf,Ancient Mesopotamian city
Median Empire,historicalSignificance,precursor to Achaemenid Empire
Inanna,myth,Descent to the Underworld
Babylonian Astronomers,recorded,Eclipses
Neo-Babylonian Empire,event,Fall of Neo-Babylonian Empire
Roxana,instanceOf,Historical figure
Akkad,languageSpoken,Akkadian language
Babylonian literature,instanceOf,literature
Neo-Babylonian Empire,notableRuler,Nabonidus
Cuneiform writing system,usedBy,Babylonians
Enlil,worshipedIn,Ekur temple
Sargon of Akkad,conquered,Sumerian city-states
Shuttarna II,instanceOf,King of Mitanni
Utu,associatedWith,Law
Kadashman-Turgu,capital,Babylon
Xerxes II,father,Artaxerxes I
Nabu,worshipedIn,Babylon
Babylonian cosmology,includes,earth as a flat disk
Ruins of Babylon,locatedNear,Euphrates River
Marduk,father,Nabu
Abzu,instanceOf,freshwater underground aquifer
Revolt of Shamash-shum-ukin,instanceOf,historical event
King Kurigalzu I,notableFor,Founding the city of Dur-Kurigalzu
Ziggurat of Ur,locatedIn,Ur
Babylonian mathematics,timePeriod,circa 2000 BCE to 300 BCE
King of Larsa,timePeriod,circa 20th to 18th century BCE
Tell Asmar,locatedIn,Iraq
City of Uruk,hadFamousKing,Gilgamesh
Middle Babylonian period,associatedWith,Babylonian Empire
Babylonian Captivity of the Jews,startDate,586 BCE
