subject,predicate,object
Fresenius Medical Care,businessFocus,Dialysis products and services
Merck Group,revenue,€19.9 billion (2022)
BAYN,listedIn,DAX 40 Index
SAP SE,stockExchange,Frankfurt Stock Exchange
FRE,sector,Healthcare
DAX 40 Index,hasConstituentCompany,Zalando
Volkswagen AG,instanceOf,Company
Delivery Hero,stockExchange,Frankfurt Stock Exchange
Chairman of the Executive Board of Volkswagen AG,instanceOf,Position
Xetra,operatedBy,Deutsche Börse
NSU (historical),founded,1873
HelloFresh,founders,Thomas Griesel
DAX 40,includesCompany,Infineon Technologies
Henkel AG & Co. KGaA,instanceOf,Company
BAS,industry,Chemicals
Continental AG,instanceOf,Company
VNA,instanceOf,Company
Qiagen,primaryProducts,Sample and assay technologies for molecular diagnostics
Rolf Buch,occupation,Business Executive
^GDAXI,type,Performance Index
Peer M. Schatz,associatedWith,Qiagen
Audi,CEO,Markus Duesmann
Volkswagen Group,brands,Volkswagen
Continental,memberOfIndex,DAX 40 Index
Bayer,tickerSymbol,BAYN
BMW,foundedYear,1916
Daimler Truck,industry,Commercial Vehicles
DAX 40 Index,tradingHours,09:00 to 17:30 CET
Bentley,instanceOf,Company
European Central Bank,established,1998
Fresenius SE & Co. KGaA,CEO,Stefan Oelrich
IFX,listedIn,DAX 40 Index
QIA,listedIn,DAX 40 Index
DAX 40,includesCompany,Puma
DAX 40,includesCompany,Fresenius Medical Care
Henkel AG & Co. KGaA,knownFor,Laundry & Home Care
Deutsche Bank,country,Germany
Infineon Technologies,tickerSymbol,IFX
Covestro,tickerSymbol,1COV
Deutsche Post,headquarters,"Bonn, Germany"
Zalando,foundedIn,2008
BASF SE,tickerSymbol,BAS
DAX 40 Index,previousName,DAX 30
Covestro,formerName,Bayer MaterialScience
Bugatti,headquarters,"Molsheim, France"
Rhine-Ruhr Metropolitan Region,locatedIn,Germany
Siemens Healthineers,industry,Healthcare
SEAT,industry,Automotive
"Walldorf, Germany",instanceOf,City
Puma,products,Accessories
Christian Sewing,occupation,Banker
Symrise,headquarters,"Holzminden, Germany"
Porsche AG,parentCompany,Volkswagen Group
Bayer AG,tickerSymbol,BAYN
SAP,founders,Hasso Plattner
DAX 40 Index,market,Frankfurt Stock Exchange
Niklas Östberg,associatedWith,Delivery Hero
DAX 40 Index,hasConstituentCompany,BMW
DAX 40 Index,includesCompanies,Covestro
Vonovia,instanceOf,Company
Munich Re,founded,1880
Bayer MaterialScience,focusArea,High-performance plastics
Infineon Technologies,memberOfIndex,DAX 40
SAP SE,CEO,Christian Klein
DPW,instanceOf,Company
DAX 40,includesCompany,Merck
MTU Aero Engines,stockExchange,Frankfurt Stock Exchange
Volkswagen AG,stockExchange,Frankfurt Stock Exchange
Fresenius Medical Care,stockExchange,Frankfurt Stock Exchange
MUV2,country,Germany
MTU Aero Engines,tickerSymbol,MTX
Audi,founded,1909
Porsche AG,headquarters,"Stuttgart, Germany"
Euro,instanceOf,Currency
Peer M. Schatz,nationality,German
Daimler Truck AG,products,Buses
Christian Sewing,nationality,German
DBK,headquarters,"Frankfurt, Germany"
Siemens Energy AG,listedIn,DAX 40 Index
Henkel AG & Co. KGaA,country,Germany
VOW3,companyName,Volkswagen AG
Henkel,industry,Consumer Goods
SAP,foundedIn,1972
Fresenius SE & Co. KGaA,memberOf,DAX 40 Index
Puma,foundedIn,1948
DAX 40,includesCompany,Qiagen
Infineon Technologies,industry,Semiconductors
DAI,isComponentOf,DAX 40 Index
Fresenius Vamed,instanceOf,Company
Deutsche Bank AG,headquarters,"Frankfurt, Germany"
Volkswagen Group,brands,SEAT
Henkel AG & Co. KGaA,industry,Consumer Goods
