subject,predicate,object
Debbie Wolowitz,residence,"Pasadena, California"
The Big Bang Theory,mainCharacter,Howard Wolowitz
Sheldon Cooper,favoriteDrink,Coca-Cola
Steven Molaro,instanceOf,Person
Alfred Hofstadter,occupation,Physicist
"The Big Bang Theory Season 3, Episode 23",mainCharacters,Raj Koothrappali
The Big Bang Theory Season 3,originalReleaseStartDate,2009-09-21
Carol Ann Susi,roleIn,The Big Bang Theory
The Big Bang Theory,themeSongTitle,The History of Everything
Mayim Bialik,birthDate,"December 12, 1975"
Mayim Bialik,profession,Actress
Johnny Galecki,portrays,Leonard Hofstadter
Kevin Sussman,appearedIn,The Big Bang Theory
Young Sheldon,setting,East Texas
Bazinga!,originatedIn,The Big Bang Theory
Penny,characterTrait,Social
"Season 2, Episode 22",title,The Classified Materials Turbulence
Mr. Wolowitz,hasMother,Mrs. Wolowitz
Leonard Hofstadter,roommate,Sheldon Cooper
Bernadette Rostenkowski,characterTrait,Assertive personality
Johnny Galecki,birthDate,"April 30, 1975"
Penny,relationship,Leonard Hofstadter
Mary Cooper,personalityTrait,Devoutly religious
The Big Bang Theory,originalLanguage,English
The Lunar Excitation,featuresCharacter,Howard Wolowitz
Melissa Rauch,occupation,Actress
Johnny Galecki,instanceOf,Actor
Sam Wolowitz,appearsIn,The Big Bang Theory
Steve Molaro,occupation,Television producer
Penny,appearsIn,The Big Bang Theory
The Big Bang Theory Season 3,instanceOf,TV Season
Young Sheldon,numberOfEpisodes,100+
Debbie Wolowitz,appearsIn,The Big Bang Theory
Season 3,originalReleaseStartDate,2009-09-21
Bernadette Rostenkowski-Wolowitz,personalityTrait,Assertive
The History of Everything,releasedIn,2007
Mrs. Wolowitz,characterTrait,Loud voice
Laurie Metcalf,roleInTheBigBangTheory,Mary Cooper
The Big Bang Theory,createdBy,Chuck Lorre
Young Sheldon,premiereDate,2017-09-25
Anu,appearsIn,The Big Bang Theory
Melissa Rauch,birthYear,1980
Leonard Hofstadter,favoriteComicBook,The Flash
Rajesh Koothrappali,hasFriend,Leonard Hofstadter
Penny Hofstadter,residence,"Pasadena, California"
Season 11 of The Big Bang Theory,mainCast,Mayim Bialik
Johnny Galecki,nationality,American
"Season 1, Episode 15 (The Pork Chop Indeterminacy)",writer,Chuck Lorre
Sheldon Cooper,hasIQ,187
Laura Spencer,occupation,Actress
Rajesh Koothrappali,romanticInterest,Anu
Season 12 of The Big Bang Theory,notableEvent,Final season of the series
Penny Hofstadter,characterTrait,Social
Kaley Cuoco,occupation,Actress
Missy Cooper,instanceOf,Fictional character
Laurie Metcalf,instanceOf,Person
Season 12 of The Big Bang Theory,notableEvent,Sheldon and Amy win Nobel Prize
"Season 2, Episode 15",title,The Maternal Capacitance
Jim Parsons,knownFor,The Big Bang Theory
Rajesh Koothrappali,hasFriend,Sheldon Cooper
Haley Wolowitz,instanceOf,Fictional character
George Cooper III,isFatherOf,Missy Cooper
Debbie Wolowitz,voicedBy,Carol Ann Susi
Courtney Henggeler,profession,Actress
Sheldon Cooper,hasFavoriteBoardGame,Mystic Warlords of Ka'a
Missy Cooper,appearsIn,The Big Bang Theory
"Season 2, Episode 22",partOfSeason,Season 2
Emily Sweeney,portrayedBy,Laura Spencer
Kate Micucci,occupation,Comedian
Leonard Hofstadter,bestFriend,Sheldon Cooper
Sheldon Cooper,hasPhobia,Social situations
The Lunar Excitation,featuresCharacter,Raj Koothrappali
Dr. Stephanie Barnett,appearsIn,The Big Bang Theory
Dr. Stephanie Barnett,firstAppearance,"Season 2, Episode 15"
Steve Molaro,role,Executive producer of The Big Bang Theory
"Season 2, Episode 15",partOfSeason,Season 2
The Big Bang Theory Season 3,mainCast,Mayim Bialik
Howard Wolowitz,occupation,Aerospace engineer
Lucy,instanceOf,Character
Haley Wolowitz,appearsIn,The Big Bang Theory
Season 11 of The Big Bang Theory,mainCast,Kunal Nayyar
Allegra Hofstadter,gender,Female
Bill Prady,knownFor,Co-creator of The Big Bang Theory
Season 1,mainCharacters,Howard Wolowitz
Kaley Cuoco,nationality,American
Rajesh Koothrappali,appearsIn,The Big Bang Theory
George Cooper Jr.,isFatherOf,George Cooper III
Season 11 of The Big Bang Theory,showrunner,Steve Molaro
Season 12 of The Big Bang Theory,mainCast,Kunal Nayyar
Season 12 of The Big Bang Theory,partOf,The Big Bang Theory
Season 11 of The Big Bang Theory,mainCast,Johnny Galecki
Sheldon Cooper,hasRoommate,Leonard Hofstadter
Season 11 of The Big Bang Theory,numberOfEpisodes,24
"Season 2, Episode 15",writer,Maria Ferrari
Sheldon Cooper,hasFavoriteDrink,Coca-Cola
Season 12 of The Big Bang Theory,showrunner,Steve Molaro
"Season 2, Episode 22",writer,Steven Molaro
"Season 2, Episode 15",instanceOf,Episode
Melissa Rauch,nationality,American
Sheldon Cooper,hasCatchphrase,Bazinga!
The Big Bang Theory Season 3,mainCast,Kevin Sussman
Amy Farrah Fowler,personalityTrait,Intelligent
The Big Bang Theory,finaleDate,"May 16, 2019"
Young Sheldon,basedOn,The Big Bang Theory
Leonard Hofstadter's father,name,Alfred Hofstadter
The Lunar Excitation,originalAirDate,"May 3, 2010"
The Big Bang Theory,genre,Sitcom
Steven Molaro,occupation,Television producer
The Pork Chop Indeterminacy,director,Anthony Rich
Season 3,mainCast,Mayim Bialik
Sheldon Cooper,hasSibling,Missy Cooper
Leonard Hofstadter,instanceOf,Fictional character
Mrs. Wolowitz,instanceOf,Character
Mayim Bialik,profession,Neuroscientist
Mrs. Wolowitz,appearsIn,The Big Bang Theory
Penny Hofstadter,occupation,Pharmaceutical sales representative
George Cooper III,appearsIn,The Big Bang Theory
Simon Helberg,occupation,Actor
Bernadette Rostenkowski-Wolowitz,portrayedBy,Melissa Rauch
Mr. Wolowitz,hasSpouse,Bernadette Rostenkowski-Wolowitz
Sheldon Cooper,hasPersonalityTrait,Obsessive-compulsive tendencies
The Big Bang Theory,setting,"Pasadena, California"
Missy Cooper,portrayedBy,Courtney Henggeler
The Big Bang Theory Season 3,mainCast,Kunal Nayyar
Leonard Hofstadter,hasPersonalityTrait,Kind
Beverly Hofstadter,occupation,Psychiatrist
Leonard Hofstadter,occupation,Experimental physicist
Sheldon Cooper,instanceOf,Fictional Character
Kevin Sussman,playedCharacter,Stuart Bloom
Leonard Hofstadter,appearsIn,The Big Bang Theory
The Big Bang Theory Season 3,mainCast,Johnny Galecki
Penny,origin,Nebraska
The Big Bang Theory,spinOff,Young Sheldon
Bazinga!,meaning,Joke or prank
Season 11 of The Big Bang Theory,mainCast,Jim Parsons
Leonard Hofstadter,worksAt,Caltech
Leonard Hofstadter,spouse,Penny
Christine Baranski,characterRelation,Leonard Hofstadter's mother
Simon Helberg,actedIn,The Big Bang Theory
Leonard Hofstadter,hasRomanticRelationshipWith,Penny
Kate Micucci,occupation,Actress
Bernadette Rostenkowski-Wolowitz,education,PhD in Microbiology
"The Big Bang Theory Season 3, Episode 23",mainCharacters,Leonard Hofstadter
Amy Farrah Fowler,appearsIn,The Big Bang Theory
Steve Molaro,occupation,Television writer
Laurie Metcalf,profession,Actress
Sam Wolowitz,isFatherOf,Howard Wolowitz
Beverly Hofstadter,instanceOf,Character
Chuck Lorre,instanceOf,Person
Beverly Hofstadter,appearsIn,The Big Bang Theory
"Season 1, Episode 15",series,The Big Bang Theory
Season 3,mainCast,Johnny Galecki
Leonard Hofstadter's mother,name,Beverly Hofstadter
Steven Molaro,role,Executive producer of The Big Bang Theory
Alfred Hofstadter,instanceOf,Character
Sheldon Cooper,hasFavoriteFood,Thai food
Leonard Hofstadter's mother,relation,mother of Leonard Hofstadter
Amy Farrah Fowler,relationship,Sheldon Cooper
Rajesh Koothrappali,hasSibling,Priya Koothrappali
The Lunar Excitation,featuresCharacter,Penny
Priya Koothrappali,portrayedBy,Aarti Mann
"Season 1, Episode 15 (The Pork Chop Indeterminacy)",episodeNumber,15
Leonard Hofstadter's mother,profession,neuroscientist
"The Big Bang Theory Season 3, Episode 23",mainCharacters,Sheldon Cooper
The Big Bang Theory Season 3,mainCast,Jim Parsons
The History of Everything,usedAs,theme song of The Big Bang Theory
Penny Hofstadter,portrayedBy,Kaley Cuoco
Bernadette Rostenkowski,occupation,Microbiologist
The Pork Chop Indeterminacy,writer,Chuck Lorre
Johnny Galecki,birthPlace,Belgium
CBS,instanceOf,Television network
The History of Everything,genre,alternative rock
Rajesh Koothrappali,hasPet,Dog named Cinnamon
Michael Wolowitz,fullName,Michael Wolowitz
Beverly Hofstadter,motherOf,Leonard Hofstadter
The History of Everything,instanceOf,song
Bernadette Rostenkowski,appearsIn,The Big Bang Theory
Bernadette Rostenkowski-Wolowitz,hasChild,Haley Wolowitz
Laura Spencer,instanceOf,Person
Johnny Galecki,actedIn,The Big Bang Theory
Howard Wolowitz,hobby,Magic tricks
Mrs. Wolowitz,voicedBy,Carol Ann Susi
Season 12 of The Big Bang Theory,premiereDate,"September 24, 2018"
George Cooper Jr.,isFatherOf,Sheldon Cooper
The Big Bang Theory,mainCharacter,Leonard Hofstadter
Debbie Wolowitz,voiceActor,Carol Ann Susi
The History of Everything,performedBy,Barenaked Ladies
Caltech,location,"Pasadena, California"
Season 12 of The Big Bang Theory,mainCast,Simon Helberg
Season 3,mainCast,Jim Parsons
The Big Bang Theory,mainCharacter,Rajesh Koothrappali
Chuck Lorre,created,The Big Bang Theory
Alfred Hofstadter,appearsIn,The Big Bang Theory
Chuck Lorre Productions,instanceOf,Production Company
Stuart Bloom,instanceOf,Fictional character
Michael Wolowitz,relation,Howard Wolowitz
"The Big Bang Theory Season 3, Episode 23",episodeNumber,23
Mary Cooper,religion,Christianity
Sheldon Cooper,hasBestFriend,Howard Wolowitz
Sheldon Cooper,hasFriend,Howard Wolowitz
Leonard Hofstadter's mother,instanceOf,Character
Leonard Hofstadter's mother,appearsIn,The Big Bang Theory
Kevin Sussman,profession,Comedian
Simon Helberg,birthPlace,"Los Angeles, California, USA"
Mary Cooper,residence,Texas
Young Sheldon,numberOfSeasons,7
Amy Farrah Fowler,hasCatchphrase,"I'm not crazy, my mother had me tested."
Steven Molaro,knownFor,The Big Bang Theory
The Big Bang Theory,mainCharacter,Sheldon Cooper
The Lunar Excitation,featuresCharacter,Leonard Hofstadter
